# exported by xylib from a canberra_cnf file

### block #0 Sample title.
# date and time: Sat, 2015-10-03 12:49:13
# energy calib 0: 0
# energy calib 1: 0.125
# energy calib 2: 0
# live time (s): 9785.77
# real time (s): 10800.00
# column_1	column_2
30.625000	2554.000000
30.750000	2492.000000
30.875000	2566.000000
31.000000	2558.000000
31.125000	2489.000000
31.250000	2489.000000
31.375000	2506.000000
31.500000	2510.000000
31.625000	2416.000000
31.750000	2494.000000
31.875000	2382.000000
32.000000	2361.000000
32.125000	2331.000000
32.250000	2243.000000
32.375000	2331.000000
32.500000	2278.000000
32.625000	2294.000000
32.750000	2321.000000
32.875000	2263.000000
33.000000	2054.000000
33.125000	2164.000000
33.250000	2169.000000
33.375000	2123.000000
33.500000	1980.000000
33.625000	2014.000000
33.750000	2069.000000
33.875000	1922.000000
34.000000	1997.000000
34.125000	2015.000000
34.250000	1938.000000
34.375000	1955.000000
34.500000	1943.000000
34.625000	1968.000000
34.750000	1956.000000
34.875000	1915.000000
35.000000	1968.000000
35.125000	1938.000000
35.250000	2013.000000
35.375000	1928.000000
35.500000	1985.000000
35.625000	1919.000000
35.750000	1947.000000
35.875000	1913.000000
36.000000	1893.000000
36.125000	1933.000000
36.250000	2008.000000
36.375000	1892.000000
36.500000	1979.000000
36.625000	1937.000000
36.750000	1912.000000
36.875000	1911.000000
37.000000	1889.000000
37.125000	1871.000000
37.250000	1859.000000
37.375000	1835.000000
37.500000	1882.000000
37.625000	1770.000000
37.750000	1776.000000
37.875000	1760.000000
38.000000	1773.000000
38.125000	1738.000000
38.250000	1602.000000
38.375000	1685.000000
38.500000	1695.000000
38.625000	1579.000000
38.750000	1567.000000
38.875000	1527.000000
39.000000	1620.000000
39.125000	1555.000000
39.250000	1481.000000
39.375000	1482.000000
39.500000	1437.000000
39.625000	1369.000000
39.750000	1403.000000
39.875000	1358.000000
40.000000	1305.000000
40.125000	1375.000000
40.250000	1344.000000
40.375000	1290.000000
40.500000	1268.000000
40.625000	1302.000000
40.750000	1303.000000
40.875000	1246.000000
41.000000	1261.000000
41.125000	1282.000000
41.250000	1188.000000
41.375000	1225.000000
41.500000	1160.000000
41.625000	1235.000000
41.750000	1184.000000
41.875000	1183.000000
