# exported by xylib from a canberra_cnf file

### block #0 Sample title.
# date and time: Sat, 2015-10-03 11:06:19
# energy calib 0: 0
# energy calib 1: 0.125
# energy calib 2: 0
# live time (s): 1573.71
# real time (s): 1800.00
# column_1	column_2
0.125000	0.000000
0.250000	0.000000
0.375000	0.000000
0.500000	0.000000
0.625000	0.000000
0.750000	0.000000
0.875000	0.000000
1.000000	0.000000
1.125000	0.000000
1.250000	9.000000
1.375000	15.000000
1.500000	630.000000
1.625000	2358.000000
1.750000	498.000000
1.875000	167.000000
2.000000	182.000000
2.125000	180.000000
2.250000	190.000000
2.375000	181.000000
2.500000	210.000000
2.625000	192.000000
2.750000	233.000000
2.875000	248.000000
3.000000	249.000000
3.125000	282.000000
3.250000	297.000000
3.375000	322.000000
3.500000	284.000000
3.625000	358.000000
3.750000	356.000000
3.875000	347.000000
4.000000	363.000000
4.125000	316.000000
4.250000	358.000000
4.375000	337.000000
4.500000	335.000000
4.625000	322.000000
4.750000	342.000000
4.875000	358.000000
5.000000	351.000000
5.125000	385.000000
5.250000	390.000000
5.375000	372.000000
5.500000	402.000000
5.625000	467.000000
5.750000	458.000000
5.875000	432.000000
6.000000	465.000000
6.125000	498.000000
6.250000	498.000000
6.375000	552.000000
6.500000	565.000000
6.625000	627.000000
6.750000	608.000000
6.875000	597.000000
7.000000	703.000000
7.125000	701.000000
7.250000	754.000000
7.375000	773.000000
7.500000	800.000000
7.625000	855.000000
7.750000	876.000000
7.875000	947.000000
8.000000	998.000000
8.125000	1099.000000
8.250000	1134.000000
8.375000	1174.000000
8.500000	1263.000000
8.625000	1387.000000
8.750000	1327.000000
8.875000	1370.000000
9.000000	1451.000000
9.125000	1487.000000
9.250000	1412.000000
9.375000	1422.000000
9.500000	1460.000000
9.625000	1391.000000
9.750000	1276.000000
9.875000	1363.000000
10.000000	1334.000000
10.125000	1302.000000
10.250000	1308.000000
10.375000	1270.000000
10.500000	1289.000000
10.625000	1306.000000
10.750000	1305.000000
10.875000	1233.000000
11.000000	1172.000000
11.125000	1171.000000
11.250000	1221.000000
11.375000	1205.000000
11.500000	1235.000000
11.625000	1256.000000
11.750000	1171.000000
11.875000	1258.000000
12.000000	1179.000000
12.125000	1149.000000
12.250000	1165.000000
12.375000	1154.000000
12.500000	1174.000000
12.625000	1065.000000
12.750000	1153.000000
12.875000	1169.000000
13.000000	1119.000000
13.125000	1095.000000
13.250000	1113.000000
13.375000	1060.000000
13.500000	1109.000000
13.625000	1060.000000
13.750000	1100.000000
13.875000	1080.000000
14.000000	1177.000000
14.125000	1030.000000
14.250000	1081.000000
14.375000	1062.000000
14.500000	1043.000000
14.625000	1036.000000
14.750000	1018.000000
14.875000	1080.000000
15.000000	1059.000000
15.125000	1034.000000
15.250000	945.000000
15.375000	997.000000
15.500000	1008.000000
15.625000	1003.000000
15.750000	924.000000
15.875000	959.000000
16.000000	931.000000
16.125000	912.000000
16.250000	943.000000
16.375000	906.000000
16.500000	880.000000
16.625000	884.000000
16.750000	900.000000
16.875000	893.000000
17.000000	857.000000
